date,name,name_is,name_en,type,parent,parent_is,parent_en,hierarchy_level,value
2003-10-31,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,0.0
2003-10-31,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,61903.788
2003-10-31,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,14889.941
2003-10-31,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,1117841.863
2003-10-31,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1233915.628
2003-10-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,1117137.969
2003-10-31,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,176055.3599
2003-10-31,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,2639.803052
2003-10-31,Ríkissjóður og ríkisstofnanir / Treasury and Government institutions,Ríkissjóður og ríkisstofnanir,Treasury and Government institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,703.894
2003-10-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,703.894
2003-10-31,Útlán / Lending 3,Útlán,Lending 3,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,879178.8214
2003-10-31,Útlán / Lending 3,Útlán,Lending 3,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,75441.8846
2003-10-31,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,294027.711
2003-10-31,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,229572.52
2003-10-31,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,3372.4
2003-10-31,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,64951.397
2003-10-31,Eigið fé  / Total equity and minority interest,Eigið fé ,Total equity and minority interest,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,96623.563
2003-10-31,Eigið fé / Capital and reserves,Eigið fé,Capital and reserves,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,40253.908
2003-10-31,Erlend verðbréfaútgáfa innlánsstofnana / Deposit taking corporations foreign bond issues,Erlend verðbréfaútgáfa innlánsstofnana,Deposit taking corporations foreign bond issues,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,418586.027
2003-10-31,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,663333.4434
2003-10-31,Innlendar beinar lántökur / Domestic direct borrowing,Innlendar beinar lántökur,Domestic direct borrowing,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,71607.826
2003-10-31,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,848242.3146
2003-10-31,Innlán erlendra aðila í innlánsstofnunum / Non-residents' deposits in deposit taking corporations,Innlán erlendra aðila í innlánsstofnunum,Non-residents' deposits in deposit taking corporations,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,15174.89641
2003-10-31,Innlán innlendra aðila í innlánsstofnunum / Residents' deposits in deposit taking corporations,Innlán innlendra aðila í innlánsstofnunum,Residents' deposits in deposit taking corporations,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,459301.357
2003-10-31,Innlánsstofnanir / DMBs,Innlánsstofnanir,DMBs,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,227574.457
2003-10-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,233182.786
2003-10-31,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,17218.617
2003-10-31,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,1511575.758
